 103032 3
5.226255 6.805829 -4.67588
4.991748 6.816901 -4.939275
5.703509 6.940757 -4.375283
5.821213 6.945506 -4.237864
5.747922 6.89754 -4.184595
5.915617 6.940757 -4.083954
6.025871 6.945506 -3.941444
5.950003 6.89754 -3.891928
5.876767 6.816901 -3.844144
5.669341 6.805829 -4.127547
5.79197 6.661285 -3.789033
5.375238 6.63911 -4.342775
4.920149 6.661285 -4.86787
6.112001 6.940757 -3.783751
6.214514 6.945506 -3.63676
6.136274 6.89754 -3.591104
6.292168 6.940757 -3.475933
6.386714 6.945506 -3.32509
6.306313 6.89754 -3.283382
6.228704 6.816901 -3.243138
6.052388 6.805829 -3.542256
6.455754 6.940757 -3.161787
6.542172 6.945506 -3.007733
6.459828 6.89754 -2.970042
6.602531 6.940757 -2.842611
6.371556 6.805829 -2.929771
6.129209 6.63911 -3.192136
4.982151 6.896974 -4.930669
5.095911 6.889476 -4.795872
5.227453 6.981468 -4.919661
5.10206 6.981468 -5.049598
5.223938 6.896974 -4.673712
5.349812 6.981468 -4.786317
5.400594 7.020737 -4.955706
5.348399 7.02343 -5.03348
5.47359 7.02343 -4.89705
5.273918 7.020737 -5.090307
5.219996 7.02343 -5.166525
5.331071 6.889476 -4.533036
5.468689 6.981468 -4.650029
5.452593 6.896974 -4.404812
5.58398 6.981468 -4.510933
5.643337 7.020737 -4.677413
5.595219 7.02343 -4.757606
5.713178 7.02343 -4.615289
5.523771 7.020737 -4.818028
5.615618 7.035501 -4.89814
5.553458 7.035501 -4.968505
5.676861 7.035501 -4.827027
5.708003 7.037069 -4.853506
5.647728 7.037066 -4.926148
5.583922 7.037069 -4.995761
5.737173 7.035501 -4.755185
5.796542 7.035501 -4.682633
5.82834 7.037069 -4.70832
5.769978 7.037066 -4.782377
5.834179 7.036455 -4.713051
5.71386 7.036265 -4.858503
5.589519 7.036455 -5.000775
5.36161 7.035501 -5.174947
5.296191 7.035501 -5.241886
5.426439 7.035501 -5.106926
5.456207 7.037069 -5.13494
5.392268 7.037066 -5.204537
5.325216 7.037069 -5.270669
5.490393 7.035501 -5.038106
5.521787 7.037066 -5.066916
5.46181 7.036265 -5.14022
5.330637 7.036455 -5.275881
5.552256 6.889476 -4.259254
5.695587 6.981468 -4.369171
5.666871 6.896974 -4.125503
5.803421 6.981468 -4.224888
5.871238 7.020737 -4.387941
5.827369 7.02343 -4.470243
5.9377 7.02343 -4.32262
5.759192 7.020737 -4.534001
5.758739 6.889476 -3.975651
5.907402 6.981468 -4.078236
5.866103 6.896974 -3.836941
6.007454 6.981468 -3.929367
6.083566 7.020737 -4.088486
6.044086 7.02343 -4.172571
6.146453 7.02343 -4.020255
5.979389 7.020737 -4.239384
6.078813 7.035501 -4.309873
6.024338 7.035501 -4.385695
6.132277 7.035501 -4.233457
6.165917 7.037069 -4.256679
6.113571 7.037066 -4.334519
6.057386 7.037069 -4.409752
6.184721 7.035501 -4.156465
6.236138 7.035501 -4.078918
6.270348 7.037069 -4.101292
6.220085 7.037066 -4.180234
6.276629 7.036455 -4.105425
6.17224 7.036265 -4.26108
6.063455 7.036455 -4.414188
5.854953 7.035501 -4.609389
5.912398 7.035501 -4.535472
5.944832 7.037069 -4.56035
5.888432 7.037066 -4.635747
5.968863 7.035501 -4.4609
6.002993 7.037066 -4.48641
5.950929 7.036265 -4.565055
6.066438 7.03159 -4.41648
5.837058 7.03159 -4.71546
6.279716 7.03159 -4.107596
6.281124 7.019463 -4.10868
6.067798 7.019463 -4.4176
5.838374 7.019463 -4.716616
5.592288 7.03159 -5.0033
5.333691 7.03159 -5.278165
